               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.01942,           0.0045624,                   0,             0.99263,                   1,               0.995,              0.8326,            0.011485,           0.0010551,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.019522,           0.0044084,                   0,             0.99415,                   1,               0.995,             0.76977,            0.011225,           0.0011426,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.019387,           0.0043665,                   0,              0.9946,                   1,               0.995,             0.82281,           0.0095522,          0.00098797,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.019172,           0.0043345,                   0,             0.99472,                   1,               0.995,             0.87282,           0.0098024,           0.0010105,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.019759,           0.0042228,                   0,             0.99477,                   1,               0.995,             0.83716,           0.0098902,           0.0010508,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.019267,            0.004262,                   0,             0.99467,                   1,               0.995,             0.76003,            0.012844,            0.001054,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.018731,            0.004356,                   0,             0.99433,                   1,               0.995,             0.75592,             0.01267,           0.0010376,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.018461,           0.0044125,                   0,             0.99463,                   1,               0.995,             0.78928,            0.012204,           0.0010462,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.019093,           0.0043122,                   0,             0.99135,                   1,               0.995,             0.87747,           0.0092912,           0.0011154,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.018162,           0.0042734,                   0,             0.99429,                   1,               0.995,             0.79362,            0.011987,           0.0011227,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.019368,           0.0043589,                   0,             0.99445,                   1,               0.995,             0.77604,            0.012641,           0.0010738,                   0,            0.008416,            0.008416,            0.008416
                  50,             0.01843,           0.0042231,                   0,              0.9949,                   1,               0.995,             0.80958,            0.011716,           0.0010477,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.019258,           0.0043498,                   0,             0.99451,                   1,               0.995,             0.79981,            0.011357,           0.0010756,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.018531,           0.0044429,                   0,             0.99489,                   1,               0.995,             0.84901,            0.011189,           0.0010133,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.018454,           0.0041684,                   0,             0.99474,                   1,               0.995,              0.8512,           0.0097189,          0.00099968,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.018084,           0.0041793,                   0,              0.9948,                   1,               0.995,             0.81428,            0.011642,           0.0010596,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.018311,           0.0041854,                   0,             0.99452,                   1,               0.995,             0.82651,             0.01055,          0.00094776,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.018171,           0.0041927,                   0,             0.99474,                   1,               0.995,             0.83097,            0.011123,          0.00099373,                   0,            0.008185,            0.008185,            0.008185
                  57,             0.01801,           0.0043476,                   0,             0.99497,                   1,               0.995,             0.81298,            0.011867,           0.0010657,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.018465,           0.0042226,                   0,             0.99464,                   1,               0.995,             0.84466,            0.011072,           0.0010064,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.017674,           0.0041863,                   0,             0.99152,                   1,               0.995,             0.80313,            0.011726,           0.0011771,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.017999,           0.0041049,                   0,             0.99498,                   1,               0.995,             0.81922,            0.011212,           0.0010234,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.017048,           0.0041116,                   0,             0.99541,                   1,               0.995,             0.80406,             0.01155,           0.0011079,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.017658,           0.0040243,                   0,             0.99507,                   1,               0.995,             0.77908,            0.012121,            0.001116,                   0,            0.007987,            0.007987,            0.007987
                  63,             0.01698,            0.004183,                   0,             0.99487,                   1,               0.995,             0.79865,            0.011053,           0.0010352,                   0,            0.007954,            0.007954,            0.007954
                  64,             0.01758,           0.0041992,                   0,              0.9944,                   1,               0.995,             0.80705,            0.011087,           0.0010325,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.017203,           0.0040292,                   0,             0.99419,                   1,               0.995,             0.80346,            0.010918,           0.0010414,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.017443,           0.0041345,                   0,              0.9944,                   1,               0.995,             0.77871,            0.011088,           0.0010696,                   0,            0.007855,            0.007855,            0.007855
                  67,             0.01794,            0.003956,                   0,             0.99487,                   1,               0.995,             0.80858,            0.012363,           0.0010448,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.016784,           0.0040757,                   0,             0.99455,                   1,               0.995,             0.85309,           0.0094116,          0.00097929,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.017125,           0.0041507,                   0,             0.99469,                   1,               0.995,             0.81848,            0.011075,          0.00098092,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.016992,           0.0039149,                   0,             0.99497,                   1,               0.995,             0.81876,            0.010761,          0.00097035,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.016989,            0.004056,                   0,             0.99486,                   1,               0.995,             0.82451,           0.0091945,          0.00095874,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.017081,            0.003848,                   0,             0.99485,                   1,               0.995,             0.78949,             0.01106,           0.0010219,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.016835,           0.0038747,                   0,             0.99467,                   1,               0.995,             0.83564,           0.0091381,          0.00093365,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.016602,            0.004053,                   0,             0.99496,                   1,               0.995,             0.82435,            0.010267,          0.00096413,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.016285,            0.004052,                   0,             0.99512,                   1,               0.995,             0.80812,            0.010888,          0.00095729,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.016575,           0.0040427,                   0,             0.99506,                   1,               0.995,             0.88732,           0.0084775,           0.0008781,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.016956,           0.0038864,                   0,             0.99325,                   1,               0.995,             0.84039,           0.0092828,          0.00089055,                   0,            0.007492,            0.007492,            0.007492
                  78,             0.01637,           0.0038039,                   0,             0.99493,                   1,               0.995,             0.80947,            0.010817,          0.00099853,                   0,            0.007459,            0.007459,            0.007459
