               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10338,            0.014101,                   0,          0.00086022,                 0.8,          0.00078765,          0.00014698,            0.026902,           0.0065838,                   0,           0.0032759,           0.0032759,            0.070517
                   1,             0.06857,            0.014356,                   0,           0.0010753,                   1,             0.10334,            0.022597,            0.017765,           0.0043032,                   0,           0.0065656,           0.0065656,            0.040474
                   2,            0.058261,            0.013471,                   0,             0.02057,                 0.4,            0.024914,           0.0047378,            0.024762,            0.003093,                   0,           0.0098113,           0.0098113,            0.010386
                   3,             0.05067,              0.0123,                   0,             0.61338,                 0.7,             0.70583,             0.46751,            0.013475,           0.0026603,                   0,            0.009802,            0.009802,            0.009802
                   4,             0.04581,           0.0094401,                   0,             0.96981,                   1,               0.995,             0.36061,              0.0153,           0.0023116,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.039363,           0.0078783,                   0,             0.98883,                   1,               0.995,             0.30299,            0.018057,           0.0013414,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.038112,           0.0068052,                   0,              0.9888,                   1,               0.995,             0.70185,           0.0084891,           0.0010478,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.034475,           0.0062773,                   0,             0.98922,                   1,               0.995,             0.56997,            0.013831,           0.0010432,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.032658,           0.0058234,                   0,             0.98645,                   1,               0.995,             0.80397,           0.0085365,          0.00093561,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.031834,           0.0054426,                   0,             0.99045,                   1,               0.995,             0.56025,            0.012044,          0.00095989,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.030355,           0.0054063,                   0,             0.99188,                   1,               0.995,             0.62304,           0.0086419,          0.00084189,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.029914,           0.0048788,                   0,             0.99193,                   1,               0.995,             0.68627,           0.0072296,          0.00083994,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.028424,           0.0049735,                   0,              0.9925,                   1,               0.995,             0.58139,            0.010943,          0.00076218,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.029041,           0.0046757,                   0,             0.99271,                   1,               0.995,             0.62101,            0.012041,          0.00074978,                   0,            0.009208,            0.009208,            0.009208
                  14,             0.02832,           0.0045888,                   0,             0.99105,                   1,               0.995,             0.66485,            0.011675,          0.00089264,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.027713,           0.0046463,                   0,             0.99295,                   1,               0.995,             0.69624,           0.0080971,           0.0007104,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.026195,           0.0043428,                   0,             0.99299,                   1,               0.995,             0.70419,           0.0078564,          0.00075349,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.026362,           0.0044943,                   0,             0.99334,                   1,               0.995,             0.79342,           0.0063303,          0.00073801,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.025959,           0.0044886,                   0,             0.99363,                   1,               0.995,             0.72167,           0.0066074,          0.00071015,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.025225,           0.0042642,                   0,             0.98993,                   1,               0.995,             0.70491,           0.0081918,          0.00072378,                   0,            0.008812,            0.008812,            0.008812
