               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.022613,             0.00727,                   0,             0.97877,                   1,               0.995,             0.16583,            0.044003,           0.0082472,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.022073,           0.0072085,                   0,             0.97842,                   1,               0.995,             0.12901,            0.043484,           0.0072233,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.021826,           0.0070277,                   0,              0.9787,                   1,               0.995,             0.21652,            0.045909,           0.0077681,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.021811,           0.0070001,                   0,             0.97759,                   1,               0.995,             0.32446,            0.037197,           0.0067866,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,             0.02199,            0.006925,                   0,             0.97758,                   1,               0.995,              0.2985,            0.036524,           0.0067806,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.021379,           0.0067989,                   0,             0.97848,                   1,               0.995,             0.22424,            0.042123,           0.0077817,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.021145,           0.0069179,                   0,             0.97897,                   1,               0.995,              0.2985,            0.040166,           0.0082868,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.021273,           0.0068129,                   0,             0.97606,                   1,               0.995,             0.34916,            0.038021,           0.0064366,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.021259,           0.0067288,                   0,             0.97633,                   1,               0.995,             0.22446,            0.041756,           0.0064651,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.021646,           0.0067627,                   0,             0.97859,                   1,               0.995,             0.24875,            0.041456,           0.0071794,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.021753,           0.0067921,                   0,             0.97803,                   1,               0.995,             0.28365,            0.039581,           0.0070536,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.021045,           0.0067381,                   0,             0.97806,                   1,               0.995,             0.22939,            0.041044,           0.0076486,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.020932,           0.0067531,                   0,             0.97836,                   1,               0.995,              0.2104,            0.043824,            0.007233,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.021427,           0.0065533,                   0,             0.97906,                   1,               0.995,             0.23284,            0.040265,           0.0071643,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.020765,           0.0068697,                   0,             0.97883,                   1,               0.995,             0.24893,            0.044124,           0.0075856,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.020656,           0.0068941,                   0,             0.97785,                   1,               0.995,             0.24901,            0.039383,           0.0085429,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.020949,           0.0068604,                   0,              0.4994,                 0.5,             0.49741,            0.053222,             0.04706,           0.0084709,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.020314,            0.006624,                   0,              0.9785,                   1,               0.995,              0.2985,            0.038627,           0.0073151,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,               0.021,           0.0067975,                   0,             0.97862,                   1,               0.995,             0.20415,             0.04182,           0.0077789,                   0,            0.007228,            0.007228,            0.007228
