               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.017287,           0.0045318,                   0,             0.99505,                   1,               0.995,             0.74626,            0.014302,           0.0011076,                   0,           0.0090843,           0.0090843,           0.0090843
                  39,            0.017129,           0.0046184,                   0,             0.99501,                   1,               0.995,             0.74339,            0.014536,           0.0012032,                   0,           0.0090595,           0.0090595,           0.0090595
                  40,             0.01708,           0.0044001,                   0,             0.99491,                   1,               0.995,             0.72403,            0.013679,           0.0011953,                   0,           0.0090347,           0.0090347,           0.0090347
                  41,            0.016837,           0.0042414,                   0,             0.99518,                   1,               0.995,             0.77303,             0.01225,          0.00099896,                   0,             0.00901,             0.00901,             0.00901
                  42,            0.017367,           0.0043705,                   0,             0.99495,                   1,               0.995,             0.75698,            0.011726,           0.0010711,                   0,           0.0089853,           0.0089853,           0.0089853
                  43,            0.017255,           0.0043293,                   0,             0.99484,                   1,               0.995,             0.77953,            0.011927,           0.0010454,                   0,           0.0089605,           0.0089605,           0.0089605
                  44,            0.016764,           0.0043032,                   0,             0.99518,                   1,               0.995,             0.86076,           0.0091312,          0.00094065,                   0,           0.0089358,           0.0089358,           0.0089358
                  45,            0.016701,           0.0044555,                   0,             0.99496,                   1,               0.995,             0.76833,            0.013008,           0.0010256,                   0,            0.008911,            0.008911,            0.008911
                  46,            0.016746,           0.0043462,                   0,             0.99503,                   1,               0.995,             0.78061,            0.011421,            0.001013,                   0,           0.0088863,           0.0088863,           0.0088863
                  47,             0.01655,           0.0044324,                   0,             0.99498,                   1,               0.995,             0.76983,            0.011938,           0.0010158,                   0,           0.0088615,           0.0088615,           0.0088615
                  48,            0.016342,           0.0042177,                   0,             0.99461,                   1,               0.995,             0.76066,            0.010698,          0.00099148,                   0,           0.0088368,           0.0088368,           0.0088368
                  49,            0.016602,           0.0043701,                   0,             0.99491,                   1,               0.995,             0.74333,             0.01188,           0.0010624,                   0,            0.008812,            0.008812,            0.008812
                  50,            0.016312,           0.0043682,                   0,             0.99502,                   1,               0.995,             0.79328,            0.011973,            0.001058,                   0,           0.0087872,           0.0087872,           0.0087872
                  51,            0.016446,           0.0042827,                   0,              0.9949,                   1,               0.995,             0.81526,            0.011132,           0.0010053,                   0,           0.0087625,           0.0087625,           0.0087625
                  52,            0.016234,           0.0043785,                   0,             0.99517,                   1,               0.995,             0.78138,            0.010928,           0.0010564,                   0,           0.0087378,           0.0087378,           0.0087378
                  53,             0.01604,           0.0043692,                   0,             0.99505,                   1,               0.995,             0.72373,            0.011031,           0.0010528,                   0,            0.008713,            0.008713,            0.008713
                  54,            0.016012,           0.0042743,                   0,              0.9952,                   1,               0.995,             0.70296,            0.014003,           0.0011226,                   0,           0.0086882,           0.0086882,           0.0086882
                  55,            0.015968,           0.0042374,                   0,             0.99522,                   1,               0.995,             0.68024,            0.015776,           0.0012879,                   0,           0.0086635,           0.0086635,           0.0086635
                  56,            0.016076,            0.004187,                   0,             0.99513,                   1,               0.995,             0.77262,            0.012271,           0.0011142,                   0,           0.0086388,           0.0086388,           0.0086388
                  57,            0.015927,             0.00429,                   0,             0.99504,                   1,               0.995,             0.75812,            0.011738,           0.0010551,                   0,            0.008614,            0.008614,            0.008614
                  58,            0.015935,           0.0042429,                   0,             0.99425,                   1,               0.995,             0.82021,            0.011086,          0.00097377,                   0,           0.0085893,           0.0085893,           0.0085893
                  59,            0.015903,           0.0041784,                   0,             0.99512,                   1,               0.995,             0.74524,            0.013798,           0.0010454,                   0,           0.0085645,           0.0085645,           0.0085645
                  60,             0.01588,           0.0042297,                   0,             0.99496,                   1,               0.995,             0.81204,            0.011097,          0.00088576,                   0,           0.0085398,           0.0085398,           0.0085398
                  61,            0.015698,           0.0041567,                   0,             0.99498,                   1,               0.995,             0.77481,            0.013023,           0.0010688,                   0,            0.008515,            0.008515,            0.008515
                  62,            0.015733,            0.004089,                   0,             0.99496,                   1,               0.995,             0.78345,            0.010668,          0.00097229,                   0,           0.0084903,           0.0084903,           0.0084903
                  63,            0.015425,           0.0041229,                   0,             0.99511,                   1,               0.995,             0.78121,            0.011028,           0.0009541,                   0,           0.0084655,           0.0084655,           0.0084655
                  64,            0.015669,           0.0041931,                   0,             0.99493,                   1,               0.995,             0.77166,            0.012362,           0.0010034,                   0,           0.0084408,           0.0084408,           0.0084408
                  65,            0.015441,           0.0039914,                   0,             0.99497,                   1,               0.995,             0.85187,           0.0097701,          0.00092574,                   0,            0.008416,            0.008416,            0.008416
                  66,            0.015391,           0.0042399,                   0,             0.99498,                   1,               0.995,             0.84853,           0.0098844,          0.00092697,                   0,           0.0083913,           0.0083913,           0.0083913
                  67,            0.015322,           0.0039729,                   0,             0.99497,                   1,               0.995,             0.80942,             0.01121,          0.00099961,                   0,           0.0083665,           0.0083665,           0.0083665
                  68,            0.015283,           0.0041121,                   0,             0.99491,                   1,               0.995,             0.85573,           0.0093326,          0.00098398,                   0,           0.0083418,           0.0083418,           0.0083418
                  69,            0.015344,           0.0041096,                   0,             0.99512,                   1,               0.995,             0.75823,            0.012431,           0.0010038,                   0,            0.008317,            0.008317,            0.008317
                  70,             0.01495,           0.0040077,                   0,             0.99497,                   1,               0.995,             0.84342,            0.010433,          0.00086708,                   0,           0.0082922,           0.0082922,           0.0082922
                  71,            0.015258,           0.0039658,                   0,             0.99521,                   1,               0.995,             0.84544,            0.008753,          0.00087285,                   0,           0.0082675,           0.0082675,           0.0082675
                  72,            0.014934,           0.0041042,                   0,             0.99512,                   1,               0.995,             0.80635,            0.012368,           0.0010077,                   0,           0.0082428,           0.0082428,           0.0082428
                  73,             0.01515,           0.0040514,                   0,             0.99508,                   1,               0.995,             0.79103,            0.010598,          0.00094323,                   0,            0.008218,            0.008218,            0.008218
                  74,            0.015112,           0.0039254,                   0,             0.99469,                   1,               0.995,             0.80111,            0.010159,           0.0010023,                   0,           0.0081932,           0.0081932,           0.0081932
                  75,            0.015206,           0.0040591,                   0,             0.99514,                   1,               0.995,             0.84773,           0.0099354,          0.00092462,                   0,           0.0081685,           0.0081685,           0.0081685
                  76,            0.014979,           0.0040265,                   0,             0.99479,                   1,               0.995,             0.84301,           0.0097577,          0.00096465,                   0,           0.0081437,           0.0081437,           0.0081437
                  77,            0.014926,           0.0040407,                   0,             0.99499,                   1,               0.995,              0.7714,            0.010948,          0.00090542,                   0,            0.008119,            0.008119,            0.008119
                  78,            0.014702,            0.003933,                   0,             0.99506,                   1,               0.995,             0.82168,            0.011511,          0.00098051,                   0,           0.0080942,           0.0080942,           0.0080942
                  79,            0.014601,           0.0040162,                   0,             0.99513,                   1,               0.995,             0.77955,            0.012189,          0.00095357,                   0,           0.0080695,           0.0080695,           0.0080695
                  80,            0.014753,           0.0040004,                   0,             0.99522,                   1,               0.995,               0.839,           0.0094898,          0.00094531,                   0,           0.0080447,           0.0080447,           0.0080447
                  81,            0.014738,           0.0039379,                   0,             0.99514,                   1,               0.995,             0.77244,            0.012138,           0.0010082,                   0,             0.00802,             0.00802,             0.00802
                  82,            0.014518,           0.0039872,                   0,             0.99513,                   1,               0.995,             0.81429,            0.010158,          0.00091805,                   0,           0.0079953,           0.0079953,           0.0079953
                  83,            0.014643,           0.0038734,                   0,             0.99518,                   1,               0.995,             0.80529,            0.010534,           0.0010129,                   0,           0.0079705,           0.0079705,           0.0079705
                  84,             0.01472,           0.0039099,                   0,             0.99512,                   1,               0.995,             0.81257,            0.010802,          0.00091982,                   0,           0.0079457,           0.0079457,           0.0079457
                  85,            0.014525,           0.0038961,                   0,             0.99512,                   1,               0.995,             0.76981,            0.011098,          0.00096479,                   0,            0.007921,            0.007921,            0.007921
                  86,            0.014575,            0.004045,                   0,             0.99518,                   1,               0.995,             0.81988,           0.0091835,          0.00087489,                   0,           0.0078963,           0.0078963,           0.0078963
                  87,            0.014279,           0.0038526,                   0,             0.99506,                   1,               0.995,             0.81962,             0.01093,          0.00093971,                   0,           0.0078715,           0.0078715,           0.0078715
                  88,            0.014683,           0.0039405,                   0,             0.99526,                   1,               0.995,             0.80202,            0.012404,           0.0010426,                   0,           0.0078467,           0.0078467,           0.0078467
                  89,            0.014177,           0.0038844,                   0,             0.99511,                   1,               0.995,             0.82246,            0.010957,          0.00090725,                   0,            0.007822,            0.007822,            0.007822
                  90,              0.0147,           0.0039402,                   0,             0.99487,                   1,               0.995,             0.83162,            0.010487,           0.0009468,                   0,           0.0077973,           0.0077973,           0.0077973
                  91,            0.014369,            0.003901,                   0,               0.995,                   1,               0.995,             0.81896,            0.010918,          0.00093008,                   0,           0.0077725,           0.0077725,           0.0077725
                  92,            0.014655,           0.0038399,                   0,             0.99527,                   1,               0.995,             0.81411,            0.011195,           0.0010397,                   0,           0.0077478,           0.0077478,           0.0077478
                  93,            0.014145,           0.0039498,                   0,             0.99493,                   1,               0.995,             0.85111,            0.010166,          0.00095438,                   0,            0.007723,            0.007723,            0.007723
                  94,            0.014038,           0.0038925,                   0,             0.99508,                   1,               0.995,             0.82553,           0.0086738,          0.00093599,                   0,           0.0076983,           0.0076983,           0.0076983
                  95,            0.014208,           0.0038869,                   0,             0.99506,                   1,               0.995,             0.81986,             0.00931,          0.00089707,                   0,           0.0076735,           0.0076735,           0.0076735
                  96,            0.014214,           0.0038829,                   0,             0.99529,                   1,               0.995,             0.80787,            0.010112,          0.00091943,                   0,           0.0076488,           0.0076488,           0.0076488
                  97,            0.014151,           0.0038088,                   0,             0.99511,                   1,               0.995,             0.81035,            0.010704,          0.00089131,                   0,            0.007624,            0.007624,            0.007624
                  98,            0.014185,           0.0038619,                   0,               0.995,                   1,               0.995,             0.84529,           0.0096376,          0.00091348,                   0,           0.0075993,           0.0075993,           0.0075993
                  99,            0.013847,           0.0036141,                   0,             0.99513,                   1,               0.995,             0.85395,           0.0096641,          0.00084189,                   0,           0.0075745,           0.0075745,           0.0075745
                 100,            0.013798,           0.0039123,                   0,             0.99523,                   1,               0.995,             0.84413,           0.0098736,          0.00090734,                   0,           0.0075498,           0.0075498,           0.0075498
                 101,            0.014003,           0.0038523,                   0,             0.99512,                   1,               0.995,             0.81636,            0.011436,           0.0009388,                   0,            0.007525,            0.007525,            0.007525
                 102,            0.013929,           0.0038946,                   0,             0.99532,                   1,               0.995,              0.8031,            0.010713,          0.00091038,                   0,           0.0075003,           0.0075003,           0.0075003
                 103,            0.013737,           0.0037456,                   0,             0.99485,                   1,               0.995,             0.79321,            0.011612,          0.00098299,                   0,           0.0074755,           0.0074755,           0.0074755
                 104,            0.013713,           0.0037649,                   0,             0.99531,                   1,               0.995,             0.81654,            0.010285,          0.00092063,                   0,           0.0074507,           0.0074507,           0.0074507
                 105,            0.014011,           0.0037605,                   0,             0.99521,                   1,               0.995,             0.83325,           0.0098297,          0.00086911,                   0,            0.007426,            0.007426,            0.007426
                 106,            0.013654,           0.0037914,                   0,             0.99514,                   1,               0.995,             0.80588,            0.010717,          0.00095845,                   0,           0.0074013,           0.0074013,           0.0074013
                 107,            0.013688,           0.0036804,                   0,             0.99519,                   1,               0.995,             0.84394,           0.0095493,          0.00090555,                   0,           0.0073765,           0.0073765,           0.0073765
                 108,            0.013764,           0.0037465,                   0,             0.99517,                   1,               0.995,             0.80062,            0.010284,          0.00094716,                   0,           0.0073517,           0.0073517,           0.0073517
