               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10125,            0.028367,                   0,                   0,                   0,                   0,                   0,            0.062621,            0.017835,                   0,           0.0032937,           0.0032937,            0.070357
                   1,            0.071989,            0.020891,                   0,            0.045989,                   1,             0.16104,            0.059838,            0.045743,            0.012994,                   0,           0.0065614,           0.0065614,            0.040292
                   2,             0.06447,            0.017482,                   0,             0.49453,             0.49015,              0.6014,             0.25853,            0.036248,            0.010832,                   0,           0.0097631,           0.0097631,             0.01016
                   3,            0.053064,               0.015,                   0,             0.75305,                 0.9,              0.8811,             0.62036,            0.032947,           0.0067369,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.047937,            0.011167,                   0,             0.99204,                   1,               0.995,             0.65957,            0.026057,            0.005486,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.04165,           0.0093807,                   0,              0.9908,                   1,               0.995,             0.78863,            0.022221,           0.0047469,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.039153,           0.0084866,                   0,             0.98057,                   1,               0.995,             0.78251,            0.019054,           0.0048957,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.033312,           0.0079217,                   0,             0.99279,                   1,               0.995,             0.79216,            0.013967,           0.0045684,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.033342,           0.0074899,                   0,             0.99265,                   1,               0.995,             0.75505,            0.016391,           0.0048456,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.029358,           0.0070396,                   0,              0.9924,                   1,               0.995,             0.71496,            0.015333,           0.0045696,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.031474,           0.0069775,                   0,             0.99383,                   1,               0.995,             0.74662,            0.023358,           0.0042154,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.029223,           0.0067571,                   0,              0.9929,                   1,               0.995,             0.84082,            0.014043,           0.0042233,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.027837,           0.0065652,                   0,             0.99311,                   1,               0.995,             0.75537,            0.012962,           0.0043738,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.027455,           0.0064404,                   0,             0.99404,                   1,               0.995,             0.80612,            0.012178,           0.0044429,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.028082,            0.006388,                   0,             0.99422,                   1,               0.995,             0.79899,            0.014408,           0.0040701,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.025685,           0.0062591,                   0,             0.99434,                   1,               0.995,             0.80287,            0.013888,           0.0039425,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.025999,           0.0062533,                   0,             0.99407,                   1,               0.995,              0.7392,            0.016735,           0.0039872,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.025749,           0.0061341,                   0,             0.99368,                   1,               0.995,             0.75584,            0.013678,           0.0040234,                   0,            0.008416,            0.008416,            0.008416
